scale_name,group_comparison,latent_cohens_d,latent_cohens_d_ci_lwr,latent_cohens_d_ci_upr,observed_cohens_d,observed_cohens_d_ci_lwr,observed_cohens_d_ci_upr,observed_latent_cohens_d_diff,abs_observed_latent_cohens_d_diff,observed_cohens_d_percentage_error,abs_observed_cohens_d_percentage_error
bfi_a,age,-0.121,-0.169,-0.073,-0.121,-0.169,-0.073,0,0,-0.2,0.2
bfi_a,sex,-0.2,-0.25,-0.15,-0.199,-0.249,-0.149,0.001,0.001,-0.355,0.355
bfi_c,age,-0.275,-0.323,-0.226,-0.291,-0.34,-0.243,-0.016,0.016,-5.623,5.623
bfi_c,sex,0.249,0.199,0.3,0.246,0.195,0.296,-0.003,0.003,1.422,1.422
bfi_e,age,0.014,-0.035,0.062,-0.001,-0.05,0.047,-0.015,0.015,-1028.654,1028.654
bfi_e,sex,0.236,0.186,0.286,0.223,0.172,0.273,-0.013,0.013,6.055,6.055
bfi_n,age,0.189,0.14,0.237,0.196,0.148,0.244,0.007,0.007,3.628,3.628
bfi_n,sex,0.353,0.302,0.403,0.336,0.285,0.386,-0.017,0.017,5.014,5.014
bfi_o,age,-0.173,-0.221,-0.124,-0.224,-0.273,-0.176,-0.052,0.052,-23.127,23.127
bfi_o,sex,0.131,0.081,0.181,0.098,0.048,0.149,-0.032,0.032,32.961,32.961
bidr_im,age,0.265,0.218,0.313,0.225,0.178,0.273,-0.04,0.04,17.875,17.875
bidr_im,sex,-0.178,-0.228,-0.129,-0.179,-0.228,-0.129,-0,0,-0.155,0.155
bidr_sde,age,0.077,0.029,0.126,0.03,-0.018,0.078,-0.048,0.048,159.556,159.556
bidr_sde,sex,0.14,0.09,0.19,0.178,0.128,0.228,0.038,0.038,21.516,21.516
bjw,age,-0.13,-0.178,-0.082,-0.116,-0.164,-0.068,0.014,0.014,-11.829,11.829
bjw,sex,0.001,-0.05,0.051,0.003,-0.047,0.054,0.003,0.003,83.36,83.36
brs,age,-0.09,-0.139,-0.041,-0.091,-0.14,-0.042,-0.001,0.001,-0.964,0.964
brs,sex,0.382,0.331,0.433,0.379,0.328,0.43,-0.003,0.003,0.774,0.774
he,age,0.262,0.214,0.309,0.213,0.165,0.26,-0.049,0.049,23.096,23.096
he,sex,0.343,0.293,0.393,0.359,0.31,0.409,0.017,0.017,4.6,4.6
icat_o,age,0.159,0.111,0.208,0.126,0.078,0.174,-0.033,0.033,26.484,26.484
icat_o,sex,-0.063,-0.113,-0.013,-0.063,-0.113,-0.013,-0,0,-0.432,0.432
icat_s,age,0.013,-0.035,0.06,0.022,-0.026,0.069,0.009,0.009,41.011,41.011
icat_s,sex,-0.155,-0.205,-0.105,-0.157,-0.207,-0.108,-0.003,0.003,-1.651,1.651
nfc,age,0.433,0.384,0.482,0.406,0.357,0.455,-0.027,0.027,6.624,6.624
nfc,sex,0.191,0.141,0.242,0.185,0.135,0.236,-0.006,0.006,3.27,3.27
nfcc_a,age,0.174,0.126,0.223,0.204,0.156,0.253,0.03,0.03,14.702,14.702
nfcc_a,sex,0.21,0.16,0.261,0.144,0.093,0.194,-0.067,0.067,46.323,46.323
nfcc_c,age,-0.115,-0.164,-0.066,-0.116,-0.164,-0.067,-0.001,0.001,-0.68,0.68
nfcc_c,sex,0.119,0.069,0.17,0.103,0.053,0.154,-0.016,0.016,15.453,15.453
nfcc_d,age,0.47,0.421,0.52,0.454,0.404,0.503,-0.017,0.017,3.691,3.691
nfcc_d,sex,-0.238,-0.289,-0.187,-0.216,-0.267,-0.165,0.022,0.022,-10.175,10.175
nfcc_o,age,0.099,0.05,0.147,0.064,0.016,0.113,-0.034,0.034,52.974,52.974
nfcc_o,sex,0.201,0.151,0.252,0.218,0.168,0.269,0.017,0.017,7.909,7.909
nfcc_p,age,-0.075,-0.124,-0.026,-0.063,-0.112,-0.014,0.012,0.012,-19.229,19.229
nfcc_p,sex,0.082,0.031,0.133,0.031,-0.02,0.082,-0.051,0.051,164.977,164.977
pe,age,-0.219,-0.267,-0.171,-0.218,-0.266,-0.17,0.001,0.001,-0.579,0.579
pe,sex,0.168,0.118,0.217,0.146,0.096,0.196,-0.022,0.022,14.866,14.866
pns,age,-0.023,-0.071,0.025,-0.035,-0.083,0.013,-0.012,0.012,-34.815,34.815
pns,sex,0.164,0.114,0.213,0.161,0.112,0.211,-0.002,0.002,1.399,1.399
rse,age,0.169,0.122,0.216,0.193,0.145,0.24,0.024,0.024,12.203,12.203
rse,sex,0.048,-0.001,0.097,0.059,0.01,0.108,0.011,0.011,19.048,19.048
rwa,age,-0.25,-0.299,-0.202,-0.215,-0.264,-0.166,0.036,0.036,-16.677,16.677
rwa,sex,0.072,0.021,0.123,0.046,-0.005,0.096,-0.026,0.026,57.51,57.51
sdo,age,-0.293,-0.341,-0.245,-0.287,-0.334,-0.239,0.007,0.007,-2.277,2.277
sdo,sex,-0.44,-0.49,-0.39,-0.462,-0.512,-0.412,-0.022,0.022,-4.829,4.829
sm,age,0.115,0.067,0.164,0.151,0.103,0.199,0.036,0.036,23.527,23.527
sm,sex,-0.223,-0.274,-0.173,-0.251,-0.301,-0.201,-0.028,0.028,-10.957,10.957
soc_ic,age,-0.172,-0.22,-0.124,-0.166,-0.214,-0.118,0.006,0.006,-3.667,3.667
soc_ic,sex,0.051,0.001,0.1,0.038,-0.012,0.087,-0.013,0.013,34.403,34.403
soc_pe,age,0.141,0.094,0.189,0.142,0.094,0.19,0.001,0.001,0.451,0.451
soc_pe,sex,-0.067,-0.117,-0.018,0.015,-0.034,0.065,0.083,0.083,538.39,538.39
