Scale,user_id,sex,age,median_age,sum_score,sum_score_t2,days_to_followup,nfc1,nfc2,nfc3,nfc4,nfc5,nfc6,nfc7,nfc8,nfc9,nfc10,nfc11,nfc12,nfc13,nfc14,nfc15,nfc16,nfc17,nfc18
Need for Cognition,158095,m,22,low,90,95,1.849,5,6,6,6,6,4,4,4,5,6,4,6,4,6,5,5,3,5
Need for Cognition,158218,f,23,low,84,80,0.875,4,5,4,5,6,4,6,3,4,4,5,5,5,5,4,6,3,6
Need for Cognition,158572,m,50,high,81,80,0.009,4,4,4,5,6,3,5,4,4,6,5,6,4,6,4,3,4,4
Need for Cognition,158863,f,55,high,95,88,0.009,4,4,4,6,6,4,4,6,5,6,6,6,6,6,6,6,5,5
Need for Cognition,160205,f,34,high,74,63,0.026,4,4,4,5,5,4,6,1,5,5,4,4,4,4,4,4,2,5
Need for Cognition,163394,f,44,high,97,94,0.812,4,6,6,6,6,6,2,6,4,6,6,6,5,6,5,5,6,6
Need for Cognition,164322,f,19,low,71,73,0.149,3,4,6,4,4,5,5,2,3,5,4,4,3,4,4,4,3,4
Need for Cognition,164552,m,32,high,91,102,0.029,6,6,5,5,5,5,6,5,4,6,5,6,5,5,5,4,6,2
Need for Cognition,165443,f,53,high,95,99,5.957,5,6,5,6,6,5,4,5,3,6,6,5,6,6,5,5,5,6
Need for Cognition,165792,f,29,high,79,83,17.374,4,5,6,1,3,5,1,6,1,5,6,6,6,6,6,1,5,6
Need for Cognition,166415,f,20,low,100,101,0.095,6,6,6,6,6,5,6,6,5,6,6,5,5,6,6,3,5,6
Need for Cognition,166842,f,18,low,80,86,5.793,2,6,5,4,5,5,3,3,3,6,5,3,5,3,6,6,5,5
Need for Cognition,166988,f,21,low,56,60,0.009,3,3,3,3,3,3,3,2,3,4,4,4,2,3,4,3,2,4
Need for Cognition,167471,f,18,low,65,70,9.888,6,6,2,2,5,4,2,1,6,3,6,3,4,2,3,4,1,5
Need for Cognition,168942,f,30,high,76,83,33.592,6,5,4,6,5,2,2,5,1,4,6,6,4,6,5,3,4,2
Need for Cognition,170041,f,23,low,98,96,0.054,6,5,6,6,6,2,6,2,6,6,5,6,6,6,6,6,6,6
Need for Cognition,170408,f,54,high,103,105,0.025,6,6,6,6,6,6,6,5,6,6,6,6,5,6,6,4,5,6
Need for Cognition,170812,f,41,high,90,93,0.85,5,5,6,6,5,5,3,4,5,4,6,6,5,6,6,6,3,4
Need for Cognition,172101,f,30,high,82,86,0.011,5,4,5,5,5,2,4,5,4,4,5,5,3,5,5,4,6,6
Need for Cognition,172456,f,24,low,98,92,1.666,6,6,6,6,6,5,5,4,5,6,6,6,5,6,6,5,6,3
Need for Cognition,172585,m,24,low,81,84,0.007,5,5,5,5,5,5,4,3,5,5,5,5,5,5,3,5,2,4
Need for Cognition,172724,m,37,high,76,82,0.457,4,5,5,3,3,5,2,3,3,6,2,6,5,6,4,3,6,5
Need for Cognition,175440,m,40,high,85,81,0.73,3,3,6,6,5,4,4,3,5,6,5,6,3,5,6,4,6,5
Need for Cognition,175767,f,30,high,67,65,3.027,4,4,4,3,3,4,3,4,4,4,5,4,3,4,4,3,3,4
Need for Cognition,176076,f,35,high,64,68,1.661,3,3,6,4,5,2,6,2,2,2,2,5,2,5,3,2,5,5
Need for Cognition,176199,f,21,low,63,59,0.028,5,3,5,4,4,4,3,2,4,4,2,3,4,4,3,3,3,3
Need for Cognition,176367,m,20,low,80,93,2.009,4,6,5,6,5,3,4,6,2,6,5,6,3,6,6,2,1,4
Need for Cognition,176497,f,19,low,73,73,3.543,4,4,4,5,5,1,6,4,3,6,4,6,1,2,4,2,6,6
Need for Cognition,176507,f,42,high,73,70,0.069,3,5,6,4,5,3,6,4,6,4,5,5,3,5,3,1,3,2
Need for Cognition,176940,f,26,low,69,70,0.006,3,3,5,3,3,5,4,3,3,5,4,4,3,6,4,3,3,5
Need for Cognition,177970,f,49,high,100,101,12.472,6,6,6,6,6,6,6,4,5,6,5,6,6,5,5,5,6,5
Need for Cognition,178964,f,20,low,94,87,0.01,5,6,5,5,6,5,6,5,5,5,6,6,4,6,5,5,5,4
Need for Cognition,179015,f,58,high,80,70,4.072,5,5,6,6,5,2,5,5,5,2,6,6,3,1,5,2,6,5
Need for Cognition,179121,f,48,high,92,92,0.032,5,6,6,6,6,5,6,2,2,6,5,6,6,5,6,4,5,5
Need for Cognition,179126,m,53,high,89,104,0.026,5,5,2,5,5,4,6,5,5,5,6,6,5,5,5,5,6,4
Need for Cognition,179209,m,28,low,94,92,0.446,6,5,5,5,6,6,6,5,2,6,4,5,6,5,4,6,6,6
Need for Cognition,179327,f,37,high,76,71,0.036,5,5,4,4,5,4,4,3,4,5,5,5,4,5,4,3,4,3
Need for Cognition,179345,f,48,high,58,67,2.831,4,5,5,4,4,1,3,5,2,4,5,4,1,1,2,4,2,2
Need for Cognition,179990,m,59,high,93,99,0.577,3,6,5,5,6,3,6,1,6,6,6,6,4,6,6,6,6,6
Need for Cognition,180948,f,55,high,83,84,33.974,5,5,5,5,5,6,5,3,4,4,5,5,4,5,3,3,5,6
Need for Cognition,181705,m,52,high,108,107,0.419,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Need for Cognition,181917,f,22,low,97,97,0.01,4,6,6,6,6,5,6,3,3,6,6,6,6,6,6,5,5,6
Need for Cognition,183080,m,38,high,79,80,0.104,5,6,4,4,4,4,4,4,4,5,5,5,5,6,2,2,5,5
Need for Cognition,183161,f,28,low,92,95,0.873,5,5,5,5,5,5,3,5,5,6,5,6,5,5,6,5,5,6
Need for Cognition,183447,f,19,low,76,66,0.024,2,5,5,4,5,4,3,6,3,4,4,5,4,5,3,5,5,4
Need for Cognition,183477,m,19,low,79,76,1.363,4,6,5,4,6,5,4,4,4,5,4,6,3,5,5,3,2,4
Need for Cognition,184511,f,26,low,82,88,0.008,2,5,5,5,6,3,4,4,4,3,5,6,4,5,6,5,4,6
Need for Cognition,185691,f,24,low,73,82,8.897,4,4,5,5,4,3,2,5,4,6,4,6,3,4,4,4,2,4
Need for Cognition,186143,m,37,high,80,80,0.315,5,5,5,5,5,5,5,4,3,6,6,5,3,4,4,6,2,2
Need for Cognition,186789,m,63,high,84,94,29.965,4,5,5,5,5,5,5,4,5,6,4,6,3,6,5,5,3,3
Need for Cognition,186902,f,56,high,85,92,9.176,4,5,5,6,6,5,6,4,3,6,5,5,4,6,4,3,4,4
Need for Cognition,187031,f,34,high,89,89,0.018,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5
Need for Cognition,187431,f,21,low,62,63,9.672,2,3,4,3,3,4,4,3,3,4,4,4,3,4,3,4,4,3
Need for Cognition,187612,f,19,low,84,83,0.344,4,5,5,5,3,4,6,4,3,6,5,5,3,5,6,4,5,6
Need for Cognition,188342,m,34,high,78,78,194.896,3,5,4,4,6,5,3,6,3,5,5,4,4,4,5,4,4,4
Need for Cognition,188383,f,48,high,90,93,23.983,5,6,6,5,6,3,6,2,5,6,6,6,5,6,5,5,6,1
Need for Cognition,188500,f,31,high,42,45,0.007,2,1,1,2,2,2,2,1,2,5,3,6,1,2,2,1,2,5
Need for Cognition,188627,m,47,high,90,86,99.641,5,6,4,5,5,5,5,5,6,5,5,5,5,6,5,2,6,5
Need for Cognition,189120,f,45,high,83,85,0.017,4,1,6,4,6,4,6,5,1,6,6,6,5,6,6,2,3,6
Need for Cognition,189457,f,31,high,101,101,0.939,6,6,6,6,6,6,6,3,6,6,6,6,5,6,6,4,6,5
Need for Cognition,189978,f,51,high,77,75,0.994,4,4,6,6,4,3,5,4,5,4,4,5,4,4,4,2,4,5
Need for Cognition,190572,f,45,high,96,101,0.009,5,5,6,5,6,5,6,4,6,5,5,6,5,6,5,4,6,6
Need for Cognition,190720,f,53,high,78,83,2.808,4,5,5,5,5,5,5,4,2,5,5,5,3,5,2,5,5,3
Need for Cognition,191619,f,19,low,71,67,4.962,4,3,4,5,3,2,3,5,2,3,4,5,3,6,5,3,5,6
Need for Cognition,191760,f,44,high,80,92,1.959,5,1,6,6,1,4,5,5,5,5,6,5,4,6,5,5,5,1
Need for Cognition,192380,f,27,low,87,88,4.128,5,5,5,6,4,5,6,4,6,5,5,6,4,6,1,5,5,4
Need for Cognition,192396,f,43,high,87,98,5.066,4,5,5,5,6,4,6,4,3,6,5,6,2,5,6,6,4,5
Need for Cognition,192560,f,30,high,68,65,0.006,5,4,4,4,3,3,3,4,4,4,4,4,3,3,4,4,4,4
Need for Cognition,193510,m,41,high,76,81,59.252,4,3,5,5,4,2,4,5,5,4,6,5,4,4,4,5,5,2
Need for Cognition,194687,f,34,high,96,90,5.588,5,5,6,6,6,5,6,5,5,5,5,6,4,6,6,5,5,5
Need for Cognition,195481,f,29,high,84,84,0.016,5,5,6,4,6,4,6,4,4,5,3,6,4,4,5,3,4,6
Need for Cognition,196365,m,21,low,67,65,0.006,4,4,5,3,5,4,2,3,3,4,5,5,3,3,4,3,4,3
Need for Cognition,197273,f,31,high,75,79,0.014,4,4,5,4,4,4,5,3,4,4,5,4,4,4,4,5,5,3
Need for Cognition,197288,f,20,low,78,94,7.953,5,5,5,4,2,5,5,2,2,6,4,4,5,6,5,4,4,5
Need for Cognition,197478,f,30,high,96,97,0.017,5,6,6,6,6,6,6,4,5,5,5,5,5,5,6,5,5,5
Need for Cognition,197494,f,21,low,45,94,0.02,3,3,3,3,2,2,2,3,2,2,3,2,2,2,2,2,6,1
Need for Cognition,198513,f,35,high,75,81,1.199,5,5,5,5,6,4,4,3,4,4,5,5,5,4,2,4,4,1
Need for Cognition,198514,f,18,low,63,60,0.006,4,4,2,2,4,2,3,2,2,5,6,5,5,4,4,1,5,3
Need for Cognition,198962,f,35,high,87,91,1.981,2,6,6,6,6,5,6,3,2,6,6,6,3,3,5,6,4,6
Need for Cognition,200131,f,19,low,55,39,0.009,3,2,3,4,6,1,4,2,2,5,2,6,1,3,1,1,6,3
Need for Cognition,200300,m,19,low,72,43,0.027,5,2,1,6,2,3,6,5,2,6,4,4,2,4,5,6,6,3
Need for Cognition,200763,f,18,low,62,64,0.007,5,5,2,5,4,4,1,2,4,3,2,3,3,5,5,1,5,3
Need for Cognition,200972,f,20,low,73,73,0.018,4,4,4,4,5,4,3,2,3,4,4,4,6,4,4,5,5,4
Need for Cognition,202675,f,34,high,66,66,0.006,3,4,4,4,4,3,4,3,3,4,4,4,4,4,3,3,4,4
Need for Cognition,203693,f,20,low,89,83,0.747,5,6,5,4,5,5,4,5,4,6,6,5,4,5,6,5,4,5
Need for Cognition,204306,f,37,high,84,90,5.026,4,4,5,5,5,4,5,4,5,5,6,5,5,6,2,5,5,4
Need for Cognition,204326,m,57,high,90,106,0.5,5,6,6,6,6,5,6,3,6,5,6,5,6,1,6,6,1,5
Need for Cognition,205487,f,19,low,76,79,0.014,4,4,4,5,4,3,4,3,4,4,5,5,3,6,5,5,4,4
Need for Cognition,205598,f,28,low,90,88,0.019,5,6,5,6,6,2,6,5,6,6,6,6,4,5,6,2,3,5
Need for Cognition,207123,m,22,low,81,82,0.009,5,5,5,2,5,5,5,6,2,1,6,6,4,2,6,4,6,6
Need for Cognition,208046,m,55,high,107,108,0.012,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5
Need for Cognition,208385,f,48,high,90,78,0.02,5,5,6,5,6,4,5,3,5,6,6,6,4,6,5,3,6,4
Need for Cognition,209606,m,23,low,92,94,0.016,6,6,6,5,6,4,5,4,3,5,4,6,5,5,6,6,5,5
Need for Cognition,209689,f,21,low,58,55,1.12,3,3,4,4,3,2,3,4,3,3,3,4,4,4,4,1,3,3
Need for Cognition,211114,m,20,low,66,64,0.008,5,2,5,3,5,2,3,2,4,4,2,4,5,5,5,2,2,6
Need for Cognition,211926,f,18,low,46,56,0.007,3,3,1,2,3,2,1,2,1,4,4,3,5,2,4,1,2,3
Need for Cognition,212240,f,28,low,82,85,21.804,4,5,5,5,4,4,5,6,4,5,5,5,4,4,4,4,5,4
Need for Cognition,212354,f,19,low,71,76,1.95,5,4,3,4,4,3,4,3,1,5,5,4,5,5,4,4,3,5
Need for Cognition,214758,f,29,high,75,87,0.007,5,3,2,6,5,2,1,3,6,5,6,4,5,6,5,4,6,1
Need for Cognition,215225,f,19,low,90,90,0.75,5,5,5,6,6,4,6,6,5,6,6,6,2,5,5,4,3,5
Need for Cognition,216784,m,19,low,66,60,0.027,3,4,3,4,3,3,3,3,3,4,5,4,3,6,3,3,5,4
Need for Cognition,216824,f,42,high,79,79,0.012,5,5,4,4,5,3,5,2,2,6,5,5,6,5,5,1,6,5
Need for Cognition,217726,f,26,low,76,76,0.015,4,4,5,5,4,4,4,4,4,4,4,4,4,4,5,4,5,4
Need for Cognition,218695,f,53,high,67,77,2.344,2,4,5,4,5,2,5,4,5,2,4,5,2,2,2,4,5,5
Need for Cognition,219166,m,48,high,64,60,0.01,3,3,5,2,5,2,5,5,2,5,2,2,1,5,5,5,1,6
Need for Cognition,219507,f,19,low,73,72,0.009,4,5,5,5,5,2,6,5,2,4,4,2,3,6,4,4,4,3
Need for Cognition,220200,f,21,low,63,61,0.008,3,2,3,4,3,2,4,2,4,5,3,4,4,4,5,3,3,5
Need for Cognition,221070,f,34,high,93,90,8.081,5,6,6,6,6,5,3,6,4,6,6,5,5,5,5,3,6,5
Need for Cognition,221145,f,19,low,83,62,72.074,6,6,1,6,6,3,5,4,5,4,6,1,6,6,6,6,4,2
Need for Cognition,221824,f,52,high,99,102,0.64,5,6,6,6,6,6,6,5,5,6,6,6,5,6,1,6,6,6
Need for Cognition,221884,f,34,high,74,74,0.006,6,4,4,4,5,3,5,5,2,5,6,3,4,4,4,5,1,4
Need for Cognition,222295,m,50,high,89,86,0.008,5,5,5,5,5,5,6,3,5,5,5,5,5,5,6,4,5,5
Need for Cognition,222504,f,29,high,73,74,0.012,3,2,5,4,5,3,5,3,2,6,4,5,3,6,4,4,4,5
Need for Cognition,224263,f,19,low,84,76,0.995,5,5,4,4,5,5,6,2,3,5,5,5,4,6,5,5,4,6
Need for Cognition,224283,f,27,low,96,95,0.006,5,5,6,5,6,5,6,5,5,5,5,5,6,6,5,5,5,6
Need for Cognition,224892,f,33,high,106,105,4.498,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6
Need for Cognition,225258,f,26,low,98,95,0.612,6,6,5,5,6,4,6,5,5,6,6,6,6,6,5,6,3,6
Need for Cognition,225830,f,35,high,83,87,32.108,4,5,5,6,5,4,4,4,4,6,4,5,2,6,6,5,3,5
Need for Cognition,227982,f,61,high,95,94,5.686,1,4,6,6,6,5,6,5,6,6,5,6,4,6,6,5,6,6
Need for Cognition,228501,m,20,low,76,73,0.013,3,5,5,4,3,5,2,3,2,6,5,6,3,6,6,1,5,6
Need for Cognition,228963,m,61,high,52,58,0.008,3,3,3,3,2,2,2,2,3,3,3,4,2,4,5,2,2,4
Need for Cognition,229477,m,49,high,72,68,3.99,2,5,6,3,6,2,5,6,2,5,4,5,1,4,1,4,5,6
Need for Cognition,231107,m,59,high,90,89,0.098,5,5,5,5,6,5,6,6,4,5,6,5,4,5,4,5,4,5
Need for Cognition,231212,f,43,high,100,102,0.451,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,4,5
Need for Cognition,231737,f,44,high,90,95,5.51,5,5,5,5,4,5,6,4,3,5,6,6,6,6,6,5,4,4
Need for Cognition,232043,f,24,low,52,50,0.466,3,3,3,3,3,3,3,1,2,3,3,4,3,3,3,2,3,4
Need for Cognition,234954,f,23,low,83,79,0.007,6,4,5,5,4,4,4,5,4,4,6,4,4,4,6,6,4,4
Need for Cognition,235046,f,27,low,96,96,0.006,3,6,6,5,6,6,6,5,4,6,5,6,5,6,3,6,6,6
Need for Cognition,235366,f,20,low,86,86,0.007,6,5,5,4,6,6,5,5,1,6,5,5,4,6,6,3,4,4
Need for Cognition,235607,f,42,high,69,67,0.185,4,3,5,4,4,4,3,4,4,4,4,5,3,5,4,2,4,3
Need for Cognition,235643,m,36,high,93,98,0.062,6,6,6,5,6,5,3,4,3,6,6,6,5,6,6,3,6,5
Need for Cognition,235679,m,26,low,82,100,0.94,5,5,5,5,5,4,4,2,4,6,6,4,5,5,5,4,5,3
Need for Cognition,235718,m,20,low,85,80,0.021,5,6,5,5,6,5,4,2,4,6,6,5,6,6,6,1,3,4
Need for Cognition,235739,f,32,high,82,81,4.83,5,5,5,5,5,4,3,3,4,5,5,6,5,4,5,5,4,4
Need for Cognition,236291,m,60,high,90,90,2.622,6,6,5,6,6,2,5,5,6,3,4,5,4,6,6,6,4,5
Need for Cognition,236456,m,25,low,80,69,0.025,4,5,3,5,6,5,5,5,2,6,4,5,4,5,5,4,5,2
Need for Cognition,236935,f,56,high,87,80,0.064,4,5,6,6,6,5,6,3,3,4,5,5,5,5,5,3,5,6
Need for Cognition,238166,m,33,high,97,83,0.366,5,6,6,6,6,6,6,3,5,6,6,6,6,5,5,5,4,5
Need for Cognition,239955,f,28,low,86,84,4.437,4,4,6,6,6,3,6,4,6,4,5,6,4,4,5,5,5,3
Need for Cognition,240399,f,56,high,101,98,1.048,5,5,6,6,6,6,6,5,6,6,6,6,4,6,5,5,6,6
Need for Cognition,241818,f,37,high,102,97,0.015,6,6,6,6,6,2,5,5,6,6,6,6,6,6,6,6,6,6
Need for Cognition,242057,m,41,high,86,83,2.154,5,5,5,5,2,6,5,5,5,5,5,5,5,5,5,2,5,6
Need for Cognition,244176,f,53,high,96,92,0.029,6,4,6,6,6,5,6,5,3,5,6,6,4,6,6,6,5,5
Need for Cognition,244636,f,32,high,94,99,0.048,5,5,6,6,6,5,6,5,5,5,5,6,5,6,1,5,6,6
Need for Cognition,244945,f,26,low,96,88,0.035,6,6,5,6,6,5,5,5,6,6,5,5,4,5,6,6,5,4
Need for Cognition,245528,m,25,low,96,94,1.99,5,5,6,6,6,5,6,3,6,5,6,6,5,6,6,4,5,5
Need for Cognition,245821,f,48,high,75,78,0.015,4,4,5,4,4,4,4,4,3,3,5,5,4,4,4,5,5,4
Need for Cognition,245855,f,32,high,78,84,0.009,5,5,5,4,6,3,5,4,4,6,6,1,4,6,4,1,5,4
Need for Cognition,247157,f,22,low,61,64,1.456,4,4,4,3,3,4,3,3,3,4,3,5,2,4,4,2,3,3
Need for Cognition,247216,f,27,low,86,82,0.009,4,5,6,5,6,3,6,5,3,6,5,5,4,5,3,5,5,5
Need for Cognition,247933,m,55,high,67,82,85.031,5,5,5,2,4,3,2,5,2,5,4,3,2,6,4,2,3,5
Need for Cognition,248567,f,48,high,103,75,14.009,6,6,6,6,6,6,6,5,5,5,6,6,6,6,6,6,5,5
Need for Cognition,249830,f,33,high,95,99,1.414,5,5,5,6,6,5,5,3,5,6,6,6,5,5,6,5,6,5
Need for Cognition,250664,f,49,high,101,86,0.024,6,6,6,6,5,2,6,6,6,6,6,6,5,6,6,6,6,5
Need for Cognition,251395,f,25,low,88,95,0.015,3,6,5,5,5,5,3,6,5,5,6,6,5,5,4,6,5,3
Need for Cognition,251750,f,35,high,68,63,13.989,4,4,4,4,5,3,4,4,5,4,3,3,3,2,4,4,4,4
Need for Cognition,252115,f,22,low,74,72,0.214,4,5,5,4,4,4,4,2,2,5,5,5,4,4,4,3,5,5
Need for Cognition,253143,f,26,low,43,72,0.007,1,2,1,1,1,4,3,5,2,2,2,1,2,2,5,1,2,6
Need for Cognition,254326,f,37,high,88,86,0.052,4,5,4,4,4,5,5,3,2,6,6,6,5,6,5,6,6,6
Need for Cognition,254447,f,22,low,57,53,0.025,1,2,5,4,6,5,5,2,1,1,6,5,1,2,2,1,3,5
Need for Cognition,254450,f,43,high,97,97,1.041,5,6,6,5,6,6,5,5,5,6,6,6,4,6,6,6,4,4
Need for Cognition,254633,f,31,high,100,101,30.574,5,5,6,6,6,5,6,5,6,6,5,6,4,6,6,5,6,6
Need for Cognition,256040,f,30,high,63,64,8.585,4,4,4,3,4,3,3,4,2,3,3,4,3,4,4,2,3,6
Need for Cognition,256297,m,26,low,99,96,0.025,6,6,6,6,6,5,6,2,5,5,6,6,6,6,6,6,5,5
Need for Cognition,258277,f,19,low,74,77,0.017,4,5,4,5,4,3,5,4,4,4,4,4,4,4,4,4,4,4
Need for Cognition,260702,m,35,high,80,84,0.008,4,4,5,5,5,4,6,4,4,3,5,6,4,5,3,4,4,5
Need for Cognition,262670,m,30,high,76,69,0.006,4,5,4,5,5,3,4,3,5,6,4,5,2,4,2,6,5,4
Need for Cognition,262784,f,31,high,78,79,0.02,3,5,5,5,5,4,6,2,3,4,6,5,5,6,3,4,3,4
Need for Cognition,262941,f,26,low,70,76,0.015,4,4,5,5,5,1,2,3,5,4,5,5,4,3,5,4,2,4
Need for Cognition,262984,f,18,low,82,76,9.106,5,3,6,5,4,5,3,3,5,5,5,6,5,6,4,3,5,4
Need for Cognition,264282,f,25,low,77,78,0.008,4,4,5,5,5,3,4,5,4,5,4,6,3,4,4,4,4,4
Need for Cognition,265534,f,39,high,75,76,0.034,5,5,1,5,5,5,5,3,5,5,3,5,4,3,4,4,4,4
Need for Cognition,265612,m,40,high,99,95,15,6,6,6,6,6,3,6,5,5,6,6,5,6,6,6,5,5,5
Need for Cognition,267145,m,21,low,78,67,0.005,4,4,5,5,5,5,3,4,4,5,4,5,3,5,4,3,5,5
Need for Cognition,268929,f,40,high,60,51,4.776,4,4,4,3,5,3,2,1,2,5,4,3,2,5,2,4,1,6
Need for Cognition,269210,f,61,high,88,90,0.278,5,6,1,5,6,5,6,5,1,5,6,6,5,6,4,5,6,5
Need for Cognition,270313,f,28,low,89,96,0.01,5,5,6,6,5,5,5,4,5,5,5,6,5,5,5,4,3,5
Need for Cognition,271113,f,51,high,89,99,0.034,4,5,5,5,5,5,6,5,5,6,5,5,4,4,5,5,6,4
Need for Cognition,271979,f,49,high,101,108,0.974,6,6,6,6,6,6,1,4,6,6,6,6,6,6,6,6,6,6
Need for Cognition,274138,f,47,high,98,96,0.007,4,6,6,6,6,5,6,6,5,6,6,6,3,6,6,5,6,4
Need for Cognition,274173,m,25,low,92,90,0.009,6,6,6,6,6,4,6,6,1,6,6,1,4,6,6,6,6,4
